Filename,Label,Area,No. of peaks,Length
COR_12_16_Hos,0,21852.0,4,51.0
COR_12_16_Hos,0,9667.0,6,55.0
COR_12_16_Hos,0,9547.0,5,57.0
COR_12_16_Hos,0,7479.0,4,62.0
COR_12_16_Hos,0,10768.5,5,69.0
COR_12_16_Hos,0,12442.0,4,72.0
COR_12_16_Hos,0,10561.0,1,83.0
COR_12_16_Hos,0,15542.5,2,89.0
COR_12_16_Hos,0,16956.5,3,92.0
COR_12_16_Hos,0,4042.5,1,105.0
COR_12_16_Hos,0,140607.5,1,117.0
COR_12_16_Hos,0,143711.5,2,119.0
COR_12_16_Hos,0,140232.0,3,121.0
COR_12_16_Hos,0,6360.0,2,127.0
COR_12_16_Hos,0,3412.0,1,164.0
COR_12_16_Hos,0,1632.5,1,192.0
COR_12_16_Hos,0,19055.5,1,214.0
COR_12_16_Hos,0,2368.5,1,224.0
COR_12_16_Hos,0,1621.5,1,232.0
COR_12_16_Hos,0,4810.5,3,279.0
COR_12_16_Hos,0,4727.0,3,280.0
COR_12_16_Hos,0,2199.5,1,292.0
COR_12_16_Hos,0,10409.0,2,296.0
COR_12_16_Hos,1,48659.5,2,300.0
COR_12_16_Hos,0,4740.0,3,353.0
COR_12_16_Hos,0,6504.5,3,356.0
COR_12_16_Hos,0,12830.0,1,422.0
COR_12_17_Hos,0,15230.0,3,44.0
COR_12_17_Hos,0,15656.0,3,47.0
COR_12_17_Hos,0,3869.5,2,89.0
COR_12_17_Hos,0,7430.0,2,93.0
COR_12_17_Hos,0,2623.0,1,110.0
COR_12_17_Hos,0,7088.0,4,114.0
COR_12_17_Hos,0,13971.0,4,117.0
COR_12_17_Hos,0,13605.0,4,119.0
COR_12_17_Hos,0,4649.5,1,133.0
COR_12_17_Hos,0,3919.0,1,214.0
COR_12_17_Hos,0,2463.0,1,257.0
COR_12_17_Hos,1,13549.0,2,261.0
COR_12_17_Hos,0,4131.5,2,269.0
COR_12_17_Hos,1,14605.0,2,272.0
COR_12_17_Hos,0,1527.5,2,373.0
COR_12_19_Hos,0,11894.0,3,44.0
COR_12_19_Hos,0,12658.5,2,47.0
COR_12_19_Hos,0,4302.5,2,84.0
COR_12_19_Hos,0,1871.5,1,102.0
COR_12_19_Hos,0,3844.5,2,116.0
COR_12_19_Hos,0,5858.5,3,119.0
COR_12_19_Hos,0,1771.0,1,214.0
COR_12_19_Hos,0,2363.5,1,249.0
COR_12_19_Hos,1,19610.5,2,253.0
COR_12_19_Hos,0,2919.5,1,261.0
