Unnamed: 0.1,Hsc 20,Hsc 20.1,Height_column1,Height_column2,Index_column3,Index_column4
GEN_12_24_Hos,200.0,220.0,2427.0,1732.0,3061.0,3279.0
GEN_12_27_Hos,208.0,210.0,658.0,4104.0,3115.0,3136.0
GEN_12_28_Hos,210.0,210.0,6032.0,6032.0,3108.0,3108.0
GEN_12_29_Hos,214.0,216.0,967.0,967.0,3183.0,3183.0
GEN_12_30_Hos,200.0,210.0,2689.0,3475.0,2988.0,3119.0
GEN_12_31_Hos,214.0,224.0,2694.0,1425.0,3181.0,3287.0
GEN_12_32_Hos,204.0,214.0,1167.0,1783.0,3140.0,3250.0
GEN_12_34_Hos,230.0,230.0,1118.0,1118.0,3343.0,3343.0
GEN_12_35_Hos,220.0,226.0,2617.0,806.0,3219.0,3284.0
GEN_12_36_Hos,214.0,230.0,2494.0,2048.0,3127.0,3299.0
GEN_12_37_Hos,214.0,222.0,1490.0,1035.0,3116.0,3200.0
GEN_12_38_Hos,222.0,232.0,2153.0,2203.0,3255.0,3363.0
GEN_12_39_Hos,210.0,212.0,4940.0,4940.0,3141.0,3141.0
GEN_12_40_Hos,216.0,208.0,2037.0,2448.0,3210.0,3113.0
GEN_12_41_Hos,212.0,214.0,358.0,1703.0,3176.0,3198.0
GEN_12_42_Hos,210.0,210.0,4142.0,4142.0,3116.0,3116.0
GEN_12_44_Hos,216.0,224.0,3355.0,1291.0,3146.0,3233.0
GEN_12_45_Hos,210.0,210.0,3724.0,3724.0,3109.0,3109.0
POP,,,,,,
SOR_12_2_Hos,218.0,224.0,1690.0,1542.0,3434.0,3503.0
SOR_12_3_Hos,212.0,214.0,1693.0,1849.0,3348.0,3372.0
SOR_12_4_Hos,214.0,214.0,3066.0,3066.0,3366.0,3366.0
SOR_12_5_Hos,214.0,226.0,897.0,895.0,3363.0,3501.0
SOR_12_6_Hos,200.0,208.0,1231.0,770.0,3164.0,3253.0
SOR_12_7_Hos,214.0,214.0,1276.0,1276.0,3325.0,3325.0
SOR_12_8_Hos,214.0,214.0,934.0,934.0,3366.0,3366.0
SOR_12_9_Hos,212.0,212.0,846.0,846.0,3350.0,3350.0
SOR_12_10_Hos,214.0,232.0,330.0,378.0,3346.0,3553.0
SOR_12_11_Hos,212.0,216.0,829.0,1088.0,3283.0,3329.0
SOR_12_12_Hos,224.0,226.0,459.0,459.0,3428.0,3428.0
SOR_12_13_Hos,214.0,226.0,1289.0,801.0,3303.0,3436.0
SOR_12_14_Hos,214.0,214.0,6004.0,6004.0,3290.0,3290.0
SOR_12_15_Hos,214.0,214.0,1112.0,1112.0,3311.0,3311.0
SOR_12_16_Hos,214.0,218.0,1364.0,650.0,3334.0,3379.0
SOR_12_17_Hos,200.0,200.0,1364.0,1364.0,3153.0,3153.0
SOR_12_18_Hos,214.0,216.0,645.0,645.0,3315.0,3315.0
SOR_12_19_Hos,200.0,214.0,1445.0,1431.0,3101.0,3257.0
SOR_12_20_Hos,214.0,220.0,180.0,202.0,3216.0,3283.0
SOR_12_21_Hos,214.0,214.0,4540.0,4540.0,3233.0,3233.0
SOR_12_22_Hos,200.0,200.0,839.0,839.0,3075.0,3075.0
SOR_12_23_Hos,214.0,214.0,1571.0,1571.0,3274.0,3274.0
SOR_12_24_Hos,198.0,208.0,3408.0,2374.0,3087.0,3221.0
SOR_12_25_Hos,200.0,214.0,3443.0,2100.0,3121.0,3300.0
SOR_12_26_Hos,200.0,226.0,1256.0,871.0,3098.0,3414.0
SOR_12_27_Hos,200.0,214.0,1851.0,1780.0,3092.0,3250.0
SOR_12_28_Hos,224.0,226.0,1296.0,1743.0,3322.0,3344.0
SOR_12_29_Hos,196.0,214.0,2973.0,1968.0,3050.0,3250.0
SOR_12_30_Hos,200.0,212.0,4533.0,3118.0,3059.0,3190.0
SOR_12_31_Hos,222.0,222.0,708.0,708.0,3348.0,3348.0
SOR_12_32_Hos,214.0,218.0,2413.0,2574.0,3308.0,3353.0
SOR_12_33_Hos,192.0,220.0,14304.0,5662.0,2924.0,3224.0
SOR_12_34_Hos,198.0,214.0,11452.0,6314.0,2977.0,3148.0
POP,,,,,,
ILO_CON_12_1_Hos,216.0,228.0,3020.0,2337.0,3164.0,3294.0
ILO_CON_12_2_Hos,210.0,218.0,9725.0,8521.0,3036.0,3119.0
ILO_CON_12_3_Hos,212.0,220.0,6986.0,5085.0,3033.0,3118.0
ILO_CON_12_4_Hos,214.0,228.0,9570.0,4049.0,3061.0,3212.0
ILO_CON_12_5_Hos,216.0,222.0,3828.0,4122.0,3050.0,3113.0
ILO_CON_12_6_Hos,214.0,222.0,5161.0,5747.0,3016.0,3101.0
ILO_CON_12_7_Hos,214.0,230.0,12057.0,3618.0,3035.0,3204.0
ILO_CON_12_8_Hos,214.0,214.0,7510.0,7510.0,3066.0,3066.0
ILO_CON_12_9_Hos,212.0,214.0,10792.0,12600.0,3064.0,3087.0
ILO_CON_12_10_Hos,202.0,224.0,11106.0,5814.0,2901.0,3154.0
ILO_CON_12_11_Hos,226.0,230.0,3141.0,2384.0,3135.0,3176.0
ILO_CON_12_12_Hos,200.0,200.0,19836.0,19836.0,2831.0,2831.0
ILO_CON_12_13_Hos,210.0,242.0,15262.0,2526.0,2966.0,3299.0
ILO_CON_12_14_Hos,200.0,202.0,10416.0,247.0,2829.0,2850.0
ILO_CON_12_15_Hos,218.0,224.0,10013.0,5458.0,3043.0,3107.0
